,t1_p,t1ce_p,t2_p,flair_p,seg_p
215,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_28_1/Brats18_2013_28_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_28_1/Brats18_2013_28_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_28_1/Brats18_2013_28_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_28_1/Brats18_2013_28_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_28_1/Brats18_2013_28_1_seg.nii.gz
216,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_29_1/Brats18_2013_29_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_29_1/Brats18_2013_29_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_29_1/Brats18_2013_29_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_29_1/Brats18_2013_29_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_29_1/Brats18_2013_29_1_seg.nii.gz
217,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_6_1/Brats18_2013_6_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_6_1/Brats18_2013_6_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_6_1/Brats18_2013_6_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_6_1/Brats18_2013_6_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_6_1/Brats18_2013_6_1_seg.nii.gz
218,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_8_1/Brats18_2013_8_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_8_1/Brats18_2013_8_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_8_1/Brats18_2013_8_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_8_1/Brats18_2013_8_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_8_1/Brats18_2013_8_1_seg.nii.gz
219,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_9_1/Brats18_2013_9_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_9_1/Brats18_2013_9_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_9_1/Brats18_2013_9_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_9_1/Brats18_2013_9_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_2013_9_1/Brats18_2013_9_1_seg.nii.gz
220,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_141_1/Brats18_TCIA09_141_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_141_1/Brats18_TCIA09_141_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_141_1/Brats18_TCIA09_141_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_141_1/Brats18_TCIA09_141_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_141_1/Brats18_TCIA09_141_1_seg.nii.gz
221,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_177_1/Brats18_TCIA09_177_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_177_1/Brats18_TCIA09_177_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_177_1/Brats18_TCIA09_177_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_177_1/Brats18_TCIA09_177_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_177_1/Brats18_TCIA09_177_1_seg.nii.gz
222,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_254_1/Brats18_TCIA09_254_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_254_1/Brats18_TCIA09_254_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_254_1/Brats18_TCIA09_254_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_254_1/Brats18_TCIA09_254_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_254_1/Brats18_TCIA09_254_1_seg.nii.gz
223,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_255_1/Brats18_TCIA09_255_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_255_1/Brats18_TCIA09_255_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_255_1/Brats18_TCIA09_255_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_255_1/Brats18_TCIA09_255_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_255_1/Brats18_TCIA09_255_1_seg.nii.gz
224,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_312_1/Brats18_TCIA09_312_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_312_1/Brats18_TCIA09_312_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_312_1/Brats18_TCIA09_312_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_312_1/Brats18_TCIA09_312_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_312_1/Brats18_TCIA09_312_1_seg.nii.gz
225,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_402_1/Brats18_TCIA09_402_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_402_1/Brats18_TCIA09_402_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_402_1/Brats18_TCIA09_402_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_402_1/Brats18_TCIA09_402_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_402_1/Brats18_TCIA09_402_1_seg.nii.gz
226,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_428_1/Brats18_TCIA09_428_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_428_1/Brats18_TCIA09_428_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_428_1/Brats18_TCIA09_428_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_428_1/Brats18_TCIA09_428_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_428_1/Brats18_TCIA09_428_1_seg.nii.gz
227,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_451_1/Brats18_TCIA09_451_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_451_1/Brats18_TCIA09_451_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_451_1/Brats18_TCIA09_451_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_451_1/Brats18_TCIA09_451_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_451_1/Brats18_TCIA09_451_1_seg.nii.gz
228,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_462_1/Brats18_TCIA09_462_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_462_1/Brats18_TCIA09_462_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_462_1/Brats18_TCIA09_462_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_462_1/Brats18_TCIA09_462_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_462_1/Brats18_TCIA09_462_1_seg.nii.gz
229,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_493_1/Brats18_TCIA09_493_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_493_1/Brats18_TCIA09_493_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_493_1/Brats18_TCIA09_493_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_493_1/Brats18_TCIA09_493_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_493_1/Brats18_TCIA09_493_1_seg.nii.gz
230,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_620_1/Brats18_TCIA09_620_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_620_1/Brats18_TCIA09_620_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_620_1/Brats18_TCIA09_620_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_620_1/Brats18_TCIA09_620_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA09_620_1/Brats18_TCIA09_620_1_seg.nii.gz
231,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_103_1/Brats18_TCIA10_103_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_103_1/Brats18_TCIA10_103_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_103_1/Brats18_TCIA10_103_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_103_1/Brats18_TCIA10_103_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_103_1/Brats18_TCIA10_103_1_seg.nii.gz
232,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_109_1/Brats18_TCIA10_109_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_109_1/Brats18_TCIA10_109_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_109_1/Brats18_TCIA10_109_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_109_1/Brats18_TCIA10_109_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_109_1/Brats18_TCIA10_109_1_seg.nii.gz
233,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_130_1/Brats18_TCIA10_130_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_130_1/Brats18_TCIA10_130_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_130_1/Brats18_TCIA10_130_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_130_1/Brats18_TCIA10_130_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_130_1/Brats18_TCIA10_130_1_seg.nii.gz
234,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_152_1/Brats18_TCIA10_152_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_152_1/Brats18_TCIA10_152_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_152_1/Brats18_TCIA10_152_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_152_1/Brats18_TCIA10_152_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_152_1/Brats18_TCIA10_152_1_seg.nii.gz
235,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_175_1/Brats18_TCIA10_175_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_175_1/Brats18_TCIA10_175_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_175_1/Brats18_TCIA10_175_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_175_1/Brats18_TCIA10_175_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_175_1/Brats18_TCIA10_175_1_seg.nii.gz
236,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_202_1/Brats18_TCIA10_202_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_202_1/Brats18_TCIA10_202_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_202_1/Brats18_TCIA10_202_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_202_1/Brats18_TCIA10_202_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_202_1/Brats18_TCIA10_202_1_seg.nii.gz
237,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_241_1/Brats18_TCIA10_241_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_241_1/Brats18_TCIA10_241_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_241_1/Brats18_TCIA10_241_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_241_1/Brats18_TCIA10_241_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_241_1/Brats18_TCIA10_241_1_seg.nii.gz
238,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_261_1/Brats18_TCIA10_261_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_261_1/Brats18_TCIA10_261_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_261_1/Brats18_TCIA10_261_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_261_1/Brats18_TCIA10_261_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_261_1/Brats18_TCIA10_261_1_seg.nii.gz
239,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_266_1/Brats18_TCIA10_266_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_266_1/Brats18_TCIA10_266_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_266_1/Brats18_TCIA10_266_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_266_1/Brats18_TCIA10_266_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_266_1/Brats18_TCIA10_266_1_seg.nii.gz
240,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_276_1/Brats18_TCIA10_276_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_276_1/Brats18_TCIA10_276_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_276_1/Brats18_TCIA10_276_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_276_1/Brats18_TCIA10_276_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_276_1/Brats18_TCIA10_276_1_seg.nii.gz
241,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_282_1/Brats18_TCIA10_282_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_282_1/Brats18_TCIA10_282_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_282_1/Brats18_TCIA10_282_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_282_1/Brats18_TCIA10_282_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_282_1/Brats18_TCIA10_282_1_seg.nii.gz
242,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_299_1/Brats18_TCIA10_299_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_299_1/Brats18_TCIA10_299_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_299_1/Brats18_TCIA10_299_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_299_1/Brats18_TCIA10_299_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_299_1/Brats18_TCIA10_299_1_seg.nii.gz
243,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_307_1/Brats18_TCIA10_307_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_307_1/Brats18_TCIA10_307_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_307_1/Brats18_TCIA10_307_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_307_1/Brats18_TCIA10_307_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_307_1/Brats18_TCIA10_307_1_seg.nii.gz
244,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_310_1/Brats18_TCIA10_310_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_310_1/Brats18_TCIA10_310_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_310_1/Brats18_TCIA10_310_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_310_1/Brats18_TCIA10_310_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_310_1/Brats18_TCIA10_310_1_seg.nii.gz
245,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_325_1/Brats18_TCIA10_325_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_325_1/Brats18_TCIA10_325_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_325_1/Brats18_TCIA10_325_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_325_1/Brats18_TCIA10_325_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_325_1/Brats18_TCIA10_325_1_seg.nii.gz
246,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_330_1/Brats18_TCIA10_330_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_330_1/Brats18_TCIA10_330_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_330_1/Brats18_TCIA10_330_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_330_1/Brats18_TCIA10_330_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_330_1/Brats18_TCIA10_330_1_seg.nii.gz
247,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_346_1/Brats18_TCIA10_346_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_346_1/Brats18_TCIA10_346_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_346_1/Brats18_TCIA10_346_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_346_1/Brats18_TCIA10_346_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_346_1/Brats18_TCIA10_346_1_seg.nii.gz
248,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_351_1/Brats18_TCIA10_351_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_351_1/Brats18_TCIA10_351_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_351_1/Brats18_TCIA10_351_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_351_1/Brats18_TCIA10_351_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/LGG/Brats18_TCIA10_351_1/Brats18_TCIA10_351_1_seg.nii.gz
